"Network","Status","Offer","Chain_ID","DEXs","DEXs_count","Protocols","Launch_Date","TVL","safe_protofire","safe_exists","Message_Draft","Notes"
"Bahamut","Uncertain - verify","Safe+UniV3","—","SilkSwap, Kujata","2 vol≠tvl","8","3/22/2024","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Bahamut's DeFi setup, SilkSwap, Kujata are the DEXes there and no Safe multisig yet

thought both could be a good fit, Safe for team and protocol treasuries, Uniswap V3 as the standard concentrated liquidity layer

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Immutable zkEVM","Active","Canonical UniV3","13371","Quickswap V3, WarpGate","2","5","3/22/2024","$11,241,448","YES","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

noticed Immutable zkEVM's Quickswap V3 is live but not a canonical Uniswap deployment, means your pools won't show up in the official Uniswap interface and aggregators tend to deprioritize non-canonical pools when routing

we've deployed canonical v3 on BOB, Abstract, Mode, thought we could handle the migration for Immutable zkEVM cleanly, open to connecting teams on a group chat here?",""
"Q Protocol","Active","UniV3","35441","Elk","1 vol≠tvl","4","3/14/2024","$9,376","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Q Protocol's DEX setup, Elk is running but no Uniswap V3 yet

a canonical Uniswap V3 would give the Q ecosystem a trusted liquidity layer that governance protocols can build around

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Q Protocol, open to connecting teams on a group chat here?",""
"inEVM","Active","Safe+UniV3","2525","Poolshark, DackieSwap V3, DackieSwap V2","3 vol≠tvl","7","3/12/2024","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at inEVM's DeFi setup, Poolshark, DackieSwap V3, DackieSwap V2 are the DEXes there and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"DeFiVerse","Active","Safe+UniV3","16116","Gaming DEX","1","1","3/8/2024","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at DeFiVerse's DeFi setup, Gaming DEX is the only DEX and no Safe multisig yet

thought both could fit well here, Safe for game studio multisigs, Uniswap V3 as the liquidity layer gaming tokens need

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Bitrock","Uncertain - verify","UniV3","7171","Rockswap","1","4","3/1/2024","—","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Bitrock's DEX setup, Rockswap is running but no Uniswap V3 yet

a canonical Uniswap V3 would be the standard AMM layer protocols expect

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Bitrock, open to connecting teams on a group chat here?",""
"Bitnet","Uncertain - verify","Safe+UniV3","—","Xenwave","1 vol≠tvl","1","1/27/2024","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Bitnet's DeFi setup, Xenwave is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"AirDAO","Active","Safe+UniV3","16718","FirepotSwap, Astra","2 vol≠tvl","6","1/16/2024","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at AirDAO's DeFi setup, FirepotSwap, Astra are the DEXes there and no Safe multisig yet

thought both could be a good fit, Safe for team and DAO treasuries, Uniswap V3 for real LP depth, both are standard infra for a growing community chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"JBC","Uncertain - verify","Safe+UniV3","—","Junoswap.trade, JIBSWAP, CommuDAO GameSwap","3 vol≠tvl","4","12/25/2023","$5,850","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at JBC's DeFi setup, Junoswap.trade, JIBSWAP, CommuDAO GameSwap are the DEXes there and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Horizen EON","Active","Canonical UniV3","7332","SpookySwap V2, Ascent Exchange V1, Ascent Exchange V3","3","7","11/8/2023","—","YES","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

noticed Horizen EON's Ascent Exchange V3 is live but not a canonical Uniswap deployment, means your pools won't show up in the official Uniswap interface and aggregators tend to deprioritize non-canonical pools when routing

we've deployed canonical v3 on BOB, Abstract, Mode, thought we could handle the migration for Horizen EON cleanly, open to connecting teams on a group chat here?",""
"Omax","Uncertain - verify","Safe+UniV3","—","Omax Swap","1","2","10/31/2023","$12,494","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Omax's DeFi setup, Omax Swap is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"ETHF","Uncertain - verify","Safe+UniV3","—","Sdex","1 vol≠tvl","1","10/23/2023","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at ETHF's DeFi setup, Sdex is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"MEER","Uncertain - verify","Safe+UniV3","—","CandySwap","1","1","10/23/2023","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at MEER's DeFi setup, CandySwap is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Elysium","Uncertain - verify","Safe+UniV3","—","ElysiumSwap","1 vol≠tvl","1","10/23/2023","$18,415","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Elysium's DeFi setup, ElysiumSwap is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Bifrost Network","Active","Safe+UniV3","—","Everdex","1","5","10/18/2023","$13,258,192","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Bifrost Network's DeFi setup, Everdex is the only DEX and no Safe multisig yet

thought both could be a strong fit here, Safe for protocol and validator multisigs, Uniswap V3 for staking derivative liquidity

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Dexalot","Active","Safe+UniV3","432204","Dexalot DEX","1","1","10/13/2023","$1,786,555","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Dexalot's DeFi setup, Dexalot DEX is the only DEX and no Safe multisig yet

thought both could be a good fit, Safe for team and protocol multisigs, Uniswap V3 as a complementary AMM layer alongside your orderbook

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Beam","Active","UniV3","4337","Beam Swap, Inferno Swap","2 vol≠tvl","2","10/10/2023","$1,013,418","YES","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Beam's DEX setup, Beam Swap, Inferno Swap are running but no Uniswap V3 yet

a canonical Uniswap V3 would give the ecosystem proper concentrated liquidity and attract market makers

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Beam, open to connecting teams on a group chat here?",""
"Kroma","Active","UniV3","255","iZiSwap, Prixmswap","2 vol≠tvl","8","9/16/2023","—","YES","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Kroma's DEX setup, iZiSwap, Prixmswap are running but no Uniswap V3 yet

a canonical Uniswap V3 would give the ecosystem proper concentrated liquidity and attract market makers

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Kroma, open to connecting teams on a group chat here?",""
"Pego","Uncertain - verify","Safe+UniV3","—","W3swap","1 vol≠tvl","2","9/13/2023","$47,690","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Pego's DeFi setup, W3swap is the only DEX and no Safe multisig yet

thought both could be a good fit, Safe for team and protocol multisigs, Uniswap V3 as the standard concentrated liquidity layer

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Darwinia","Uncertain - verify","Safe+UniV3","—","SnowSwap AMM","1 vol≠tvl","1","9/9/2023","$4,236","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Darwinia's DeFi setup, SnowSwap AMM is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"DSC","Uncertain - verify","Safe+UniV3","—","AmpleSwap","1 vol≠tvl","1","9/2/2023","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at DSC's DeFi setup, AmpleSwap is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"ALV","Uncertain - verify","Safe+UniV3","—","AmpleSwap, Alvey Dex","2 vol≠tvl","2","8/26/2023","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at ALV's DeFi setup, AmpleSwap, Alvey Dex are the DEXes there and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Aura Network","Active","Safe+UniV3","—","HaloTrade Cosmos, HaloTrade EVM","2 vol≠tvl","3","8/9/2023","$19,776","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Aura Network's DeFi setup, HaloTrade Cosmos, HaloTrade EVM are the DEXes there and no Safe multisig yet

thought both could be a good fit, Safe for DAO and protocol multisigs, Uniswap V3 for token liquidity on the EVM side

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Tenet","DEAD - Defunct 2024","UniV3","—","Tenx, Tendie Swap","2 vol≠tvl","3","7/11/2023","—","YES","UNCLEAR","N/A - DEAD - Defunct 2024",""
"Rollux","Active","Safe+UniV3","—","Chainge Finance, PegaSys V3","2 vol≠tvl","5","6/30/2023","$12,169,897","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Rollux's DeFi setup, Chainge Finance, PegaSys V3 are the DEXes there and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"ENULS","Uncertain - verify","Safe+UniV3","—","PheasantSwap","1","3","4/26/2023","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at ENULS's DeFi setup, PheasantSwap is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Oasys","Active","Safe+UniV3","—","Gaming DEX, Tealswap V3, Tealswap V2","3 vol≠tvl","7","4/23/2023","$497,372","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Oasys's DeFi setup, Gaming DEX, Tealswap V3, Tealswap V2 are the DEXes there and no Safe multisig yet

thought both could fit well here, Safe for game studio and protocol multisigs, Uniswap V3 as the liquidity layer gaming tokens need

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Loop","Uncertain - verify","Safe+UniV3","—","Sphynx, ZukeSwap","2 vol≠tvl","2","3/21/2023","$21,640","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Loop's DeFi setup, Sphynx, ZukeSwap are the DEXes there and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Lung","Uncertain - verify","Safe+UniV3","78887","Lunagens","1 vol≠tvl","1","3/11/2023","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Lung's DeFi setup, Lunagens is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Crab","Active","UniV3","44","SnowSwap AMM","1 vol≠tvl","1","3/9/2023","$2,301","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Crab's DEX setup, SnowSwap AMM is running but no Uniswap V3 yet

a canonical Uniswap V3 would give the Crab ecosystem a proper AMM layer

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Crab, open to connecting teams on a group chat here?",""
"Bitindi","Uncertain - verify","Safe+UniV3","—","Bitindi Dex","1 vol≠tvl","2","1/26/2023","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Bitindi's DeFi setup, Bitindi Dex is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Zeniq","Uncertain - verify","Safe+UniV3","—","Zeniq Swap","1 vol≠tvl","1","1/15/2023","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Zeniq's DeFi setup, Zeniq Swap is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Boba_Bnb","DEAD - Boba BNB sunset","UniV3","—","SushiSwap","1 vol≠tvl","1","12/24/2022","—","YES","UNCLEAR","N/A - DEAD - Boba BNB sunset",""
"Empire","DEAD - Abandoned","Safe+UniV3","—","EmpireDEX","1 vol≠tvl","1","12/23/2022","—","NO","UNCLEAR","N/A - DEAD - Abandoned",""
"Dexit","Uncertain - verify","Safe+UniV3","—","Dexit Finance Swap","1 vol≠tvl","3","12/14/2022","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Dexit's DeFi setup, Dexit Finance Swap is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Step","Uncertain - verify","Safe+UniV3","—","Step Exchange","1","2","11/25/2022","$24,560","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Step's DeFi setup, Step Exchange is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Onus","Active","Safe+UniV3","—","Defily Dex, Heraswap, MiaSwap","3 vol≠tvl","5","11/12/2022","$284,925","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Onus's DeFi setup, Defily Dex, Heraswap, MiaSwap are the DEXes there and no Safe multisig yet

thought both could be a great fit, Safe for local protocol and team multisigs, Uniswap V3 as the standard AMM layer for a growing Southeast Asian chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"MUUCHAIN","Uncertain - verify","Safe+UniV3","20402","BarnSwap","1 vol≠tvl","1","11/8/2022","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at MUUCHAIN's DeFi setup, BarnSwap is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Milkomeda A1","DEAD - Milkomeda wound down 2024","UniV3","2002","Blueshift, BrightSide","2 vol≠tvl","3","10/27/2022","$1,146","NO","YES","N/A - DEAD - Milkomeda wound down 2024",""
"Kekchain","DEAD - Abandoned meme chain","Safe+UniV3","420420","Frog Swap, KekSwap","2 vol≠tvl","3","10/23/2022","—","NO","NO","N/A - DEAD - Abandoned meme chain",""
"Cube","Active","Safe+UniV3","1818","Capricorn Finance","1","3","9/26/2022","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Cube's DeFi setup, Capricorn Finance is the only DEX and no Safe multisig yet

thought both could work well here, Safe for game studio multisigs, Uniswap V3 for in-game token liquidity

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Vision","Uncertain - verify","Safe+UniV3","—","VanSwap","1","2","9/6/2022","—","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Vision's DeFi setup, VanSwap is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Tombchain","DEAD - Defunct","Safe+UniV3","—","Lif3 Swap","1","1","8/30/2022","$18,219","NO","UNCLEAR","N/A - DEAD - Defunct",""
"Ultron","Active","UniV3","1231","iZiSwap, UltronSwap","2","3","8/29/2022","$99,172","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Ultron's DEX setup, iZiSwap, UltronSwap are running but no Uniswap V3 yet

with your DeFi focus a canonical Uniswap V3 would give the ecosystem proper concentrated liquidity on top of what iZiSwap provides

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Ultron, open to connecting teams on a group chat here?",""
"Bifrost","Active","Safe+UniV3","—","Bifrost DEX","1","4","8/27/2022","$5,110,814","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Bifrost's DeFi setup, Bifrost DEX is the only DEX and no Safe multisig yet

thought both could be a strong fit, Safe for protocol and DAO multisigs, Uniswap V3 for liquid staking derivative liquidity

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"CLV","Active","Safe+UniV3","1024","Huckleberry AMM","1","6","8/14/2022","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at CLV's DeFi setup, Huckleberry AMM is the only DEX and no Safe multisig yet

thought both could work well here, Safe for protocol and team multisigs, Uniswap V3 as the standard concentrated liquidity layer

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"REI","Active","UniV3","47805","OortSwap","1 vol≠tvl","7","7/20/2022","$1,307","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at REI's DEX setup, OortSwap is running but no Uniswap V3 yet

a canonical Uniswap V3 would give REI Network a trusted liquidity layer protocols expect

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for REI, open to connecting teams on a group chat here?",""
"Nova Network","Uncertain - verify","Safe+UniV3","87","Fusion Dex, QuasarSwap","2 vol≠tvl","2","7/4/2022","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Nova Network's DeFi setup, Fusion Dex, QuasarSwap are the DEXes there and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Acala","Active","Safe+UniV3","—","Acala Swap","1","10","6/22/2022","$116,194","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Acala's DeFi setup, Acala Swap is the only DEX and no Safe multisig yet

thought both could be a strong fit, Safe for DAO and protocol multisigs, Uniswap V3 for deep EVM-side liquidity

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
