Network,Comments,EVM,Layer,DEXS number,DEXs,Protocols number,Launch date,TVL,Chain ID,safe_protofire,safe_exists,uniswap_fork,uniswap_version,dex_notes,website_found,project_description,why_good_fit,outreach_case,tg_cold,tg_followup,li_connect,li_first,li_followup,research_notes
GRX Chain,,EVM,L1,1 vol≠tvl,GRXswap,1,12/22/2025,"$2,307,291 ",1110,NO,NO,YES,V2,"GRXswap: YES/V2 — GRX docs list a GRXswap v2 Router, Factory and Pair Init Code Hash — classic Uniswap V2 architecture.",https://grxchain.io,"GroveX's EVM-compatible DPoS L1 for consumer dApps and DeFi, targeting ~20k TPS with ultra-low fees.","~$2.3M TVL on a confirmed Uniswap-V2 DEX (v2 router verified) with no V3. Clean, well-documented V2->V3 upgrade lead.",CASE_5,"hey [Name], Vic from Protofire DAO. looked at GRX Chain's DEX setup — you've got GRXswap running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. you've got real TVL on V2 — layering V3 on top pulls in the active LPs and yield optimizers that a high-throughput consumer chain needs to keep volume onchain. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for GRX Chain — we can layer it on GRXswap without disrupting your current V2 pools. want me to send a quick scope?",Hi [Name] — Vic at Protofire DAO. GRX Chain has GRXswap on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?,"Thanks for connecting, [Name]. Saw GRX Chain runs GRXswap on V2 — solid, but no V3. you've got real TVL on V2 — layering V3 on top pulls in the active LPs and yield optimizers that a high-throughput consumer chain needs to keep volume onchain. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give GRX Chain's LPs a V3 option on top of GRXswap, it's a clean add-on for us. Happy to share how it went on other chains.",Confirmed UniV2 (router/factory in docs). Meaningful TVL. Strong V2->V3 lead.
JOC,,EVM,L1,1 vol≠tvl,JOC Dex,1,12/19/2025,$223 ,81,NO,YES,UNCLEAR,—,"JOC Dex: UNCLEAR — Exists and tracked as a small DeFi protocol on JOC, but no source describes its codebase/lineage.",https://www.japanopenchain.org,"EVM-compatible PoA (IBFT) L1 run by a consortium of Japanese enterprises (Sony, NTT, Dentsu), focused on compliant stablecoins and enterprise Web3.","Enterprise-grade Japanese consortium chain with Safe already on-chain; DEX lineage unknown. Exploratory — high-credibility logo, worth understanding their stack.",CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at JOC and saw Safe is already live on JOC, but JOC Dex's underlying stack isn't public. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. for an enterprise consortium chain, a canonical Uniswap deployment (DAO-recognized) adds a compliance-friendly, audited liquidity layer your corporate members can trust. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what JOC Dex runs on would help me tell you if there's a clean path to canonical recognition for JOC. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what JOC's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Safe is already live on JOC, but JOC Dex's underlying stack isn't public on JOC. for an enterprise consortium chain, a canonical Uniswap deployment (DAO-recognized) adds a compliance-friendly, audited liquidity layer your corporate members can trust. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to JOC Dex's docs or repo I can tell you quickly whether canonical recognition is on the table for JOC. Happy either way.","Safe present (chain_id 81). DEX fork unclear. High-credibility enterprise logo -> worth exploratory contact. chain_id 81 in safe-deployments & Protofire repo maps to Astar 'Shibuya', NOT Japan Open Chain — safe match likely a false positive; verify."
ZIGChain,evm ?,EVM,L1,1 vol≠tvl,OroSwap,5,11/5/2025,"$8,246,796 ",—,NO,UNCLEAR,NO,—,"OroSwap: NO — OroSwap is forked from Astroport (Cosmos AMM), not Uniswap; multi-pool AMM + CLMM.",https://zigchain.com,"Cosmos-SDK L1 with EVM compatibility (evmOS), evolved from Zignaly, focused on wealth generation and RWA tokenization / automated strategies.","~$8.2M TVL and a strong RWA narrative, but its DEX is an Astroport (Cosmos) fork and Safe status is unverified (no chain_id). Safe-first, then a canonical EVM-side Uniswap to activate that liquidity.",CASE_3,"hey [Name], Vic from Protofire DAO. looked at ZIGChain's stack before messaging. two things stand out: your DEX (OroSwap) is Astroport-based on the Cosmos side, and I couldn't confirm a Safe on the EVM side. with the TVL you've built on ZIGChain, Safe is honestly the first thing — it's what blue-chip protocols and DAOs require before they deploy on a chain. once that's in, a canonical Uniswap v3 is the natural next step to activate that liquidity. with $8M+ TVL and an RWA focus, a Safe on the EVM side is what institutional RWA partners require, and a canonical Uniswap v3 gives that liquidity an EVM-native home. we've deployed Safe for 130+ networks and Uniswap v2+v3 for BOB, Mode, Abstract, Zora. want to connect our teams?","hey [Name], circling back — given the TVL you've built on ZIGChain, the Safe piece is quick to ship and unblocks the institutional side. worth 15 min?",Hi [Name] — Vic at Protofire DAO. Noticed ZIGChain has real TVL but no Safe multisig yet; that's usually the first blocker for bigger protocols. Worth a chat?,"Thanks for connecting, [Name]. Looked at ZIGChain — your DEX (OroSwap) is Astroport-based on the Cosmos side, and I couldn't confirm a Safe on the EVM side. With the TVL you've built on ZIGChain, Safe is the first thing blue-chip protocols/DAOs check for. with $8M+ TVL and an RWA focus, a Safe on the EVM side is what institutional RWA partners require, and a canonical Uniswap v3 gives that liquidity an EVM-native home. Then a canonical Uniswap v3 activates that liquidity. We've done Safe for 130+ chains and Uniswap for BOB, Mode, Zora. Open to connecting teams?","Hey [Name], no rush — the Safe deployment is low-friction and tends to unlock the TVL that makes the DEX worth running. Happy to scope it whenever.",No chain_id in CSV -> safe_exists UNVERIFIED. DEX = Astroport fork (not Uni). Meaningful TVL. CASE_3; verify Safe + EVM chain_id manually. [no chain_id in source -> safe_exists UNVERIFIED]
Bittensor EVM,no need,EVM,L1,1 vol≠tvl,TaoFi,1,11/4/2025,"$203,639 ",964,NO,YES,YES,V3,"TaoFi: YES/V3 — TaoFi deployed a Uniswap V3 instance (TAO-USDC) on Bittensor EVM, built by Sturdy/Subnet 10 w/ Hyperlane bridging.",https://bittensor.com,EVM execution layer on Bittensor's Subtensor chain — the decentralized-AI network where subnets incentivize machine intelligence.,Already runs a Uniswap V3 (TaoFi) and Safe is on-chain. High-profile decentralized-AI ecosystem — fit is canonical DAO recognition + tooling depth around the existing V3.,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Bittensor EVM and saw TaoFi already deployed Uniswap V3 for TAO/USDC, and Safe is live. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. as TAO DeFi grows, canonical DAO recognition + a proper routing/graph stack would make your V3 the default venue aggregators route AI-economy liquidity through. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what TaoFi runs on would help me tell you if there's a clean path to canonical recognition for Bittensor EVM. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Bittensor EVM's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw TaoFi already deployed Uniswap V3 for TAO/USDC, and Safe is live on Bittensor EVM. as TAO DeFi grows, canonical DAO recognition + a proper routing/graph stack would make your V3 the default venue aggregators route AI-economy liquidity through. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to TaoFi's docs or repo I can tell you quickly whether canonical recognition is on the table for Bittensor EVM. Happy either way.",Already has UniV3 (TaoFi) + Safe (chain_id 964). CASE_6 canonical angle. Hot AI narrative.
BESC Hyperchain,"no contacts, looks shit",EVM,L1,1 vol≠tvl,BESCSWAP DEX,2,11/4/2025,"$323,054 ",2372,NO,NO,YES,V2,BESCSWAP DEX: YES/V2 — Forked from Uniswap V2 (UniV2-compatible factory/router); adds farming/lottery/IFO. Confirmed via DefiLlama-Adapters PR.,https://bescswap.com,EVM L1 ('Hyperchain') with instant finality and a meme/DeFi-oriented ecosystem; BESC spans BNB Chain and its own chain.,"Confirmed Uniswap-V2 fork, no V3, ~$323K TVL. Clean V2->V3 upgrade lead.",CASE_5,"hey [Name], Vic from Protofire DAO. looked at BESC Hyperchain's DEX setup — you've got BESCSWAP DEX running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. V3 on top of your existing V2 gives your meme/DeFi traders tighter pricing and pulls in the active LPs that V2 farming alone won't attract. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for BESC Hyperchain — we can layer it on BESCSWAP DEX without disrupting your current V2 pools. want me to send a quick scope?",Hi [Name] — Vic at Protofire DAO. BESC Hyperchain has BESCSWAP DEX on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?,"Thanks for connecting, [Name]. Saw BESC Hyperchain runs BESCSWAP DEX on V2 — solid, but no V3. V3 on top of your existing V2 gives your meme/DeFi traders tighter pricing and pulls in the active LPs that V2 farming alone won't attract. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give BESC Hyperchain's LPs a V3 option on top of BESCSWAP DEX, it's a clean add-on for us. Happy to share how it went on other chains.",Confirmed UniV2 fork. No Safe. CASE_5 V2->V3.
GateLayer,talking now,EVM,L2,2,"Gate Swap, WoofSwap GateLayer",3,10/7/2025,"$2,582,712 ",10088,NO,NO,UNCLEAR;NO,—,"Gate Swap: UNCLEAR — Confirmed as GateLayer's native AMM but no source states its fork base. | WoofSwap GateLayer: NO — ve(3,3)/Solidly-family fork (from Ve33 Finance), not Uniswap.",https://www.gate.io/gatelayer,"Gate.io's EVM-compatible OP-Stack L2 settling on GateChain (GT gas), hosting Gate's native DeFi and Gate Fun launchpad.","~$2.58M TVL, exchange-backed (Gate.io). Gate Swap's lineage is unknown and WoofSwap is Solidly-based. Exploratory to learn Gate Swap's stack; exchange backing = strong potential.",CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at GateLayer and saw Gate Swap is your native AMM but its stack isn't public, and WoofSwap is a Solidly ve(3,3) design. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. an exchange-backed L2 with real TVL is exactly the kind of chain where a canonical Uniswap v3 (DAO-recognized) would lock in aggregator routing and complement Gate's own liquidity. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Gate Swap, WoofSwap GateLayer runs on would help me tell you if there's a clean path to canonical recognition for GateLayer. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what GateLayer's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Gate Swap is your native AMM but its stack isn't public, and WoofSwap is a Solidly ve(3,3) design on GateLayer. an exchange-backed L2 with real TVL is exactly the kind of chain where a canonical Uniswap v3 (DAO-recognized) would lock in aggregator routing and complement Gate's own liquidity. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Gate Swap, WoofSwap GateLayer's docs or repo I can tell you quickly whether canonical recognition is on the table for GateLayer. Happy either way.","Gate Swap fork UNCLEAR; WoofSwap=Solidly. Exchange-backed, meaningful TVL. No Safe (chain_id 10088). CASE_6."
Xone Chain,small,EVM,L1,1 vol≠tvl,SwapX Xone Chain,1,10/6/2025,"$6,796 ",3721,NO,NO,YES,BOTH,SwapX Xone Chain: YES/BOTH — SwapX docs: 'built on Uniswap v2/v3 protocols' + Li.Fi aggregation. Effectively a V2+V3 fork.,https://xone.org,"EVM-compatible L1 (with Cosmos modularity, zk privacy features) built around a 'Behavioral Value Incentive' model, emphasizing compliance and institutional adoption.",Already runs a Uniswap v2+v3 fork (SwapX) but has NO Safe and tiny (~$6.8K) TVL. Real gap is Safe — a compliance/institutional chain needs multisig custody to be credible.,CASE_4,"hey [Name], Vic from Protofire DAO. been following Xone Chain and had a look at the stack. SwapX already covers Uniswap v2+v3, but there's no Safe multisig on Xone. at this stage the highest-leverage move is probably a proper Safe deployment — it's what signals to protocols, DAOs and bridges that a chain is serious, and it unlocks the kind of TVL that makes a DEX worth running. for a chain built around compliance and institutional adoption, a Safe multisig is the single most expected piece of custody infra — it's the gap, not the DEX. we've deployed Safe for 130+ networks including Gnosis and others — fast to ship, low friction. open to a quick chat?","hey [Name], following up on the Safe idea for Xone Chain — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. For Xone Chain, a proper Safe multisig is probably the highest-leverage next step to signal you're serious. Open to a chat?","Thanks for connecting, [Name]. Had a look at Xone Chain — SwapX already covers Uniswap v2+v3, but there's no Safe multisig on Xone. At this stage a proper Safe is the move: it's what protocols, DAOs and bridges look for, and it unlocks the TVL that makes a DEX worth running. for a chain built around compliance and institutional adoption, a Safe multisig is the single most expected piece of custody infra — it's the gap, not the DEX. We've deployed Safe for 130+ networks — fast, low friction. Open to a quick chat?","Hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage of an ecosystem. Here whenever you want to scope it.",Has UniV2+V3 (SwapX) already; gap = Safe (chain_id 3721 not in safe-deployments). CASE_4 Safe pitch.
Mezo,to find tg,EVM,L1,2 vol≠tvl,"Tigris Mezo V3, Tigris Mezo V2",9,10/1/2025,"$62,831,759 ",31612,NO,YES,UNCLEAR;UNCLEAR,V3?,"Tigris Mezo V3: UNCLEAR/V3? — ve(3,3) model (veBTC directs emissions); 'V3' = concentrated-liquidity tier, likely UniV3-derived module but fork base not named. | Tigris Mezo V2: UNCLEAR — Standard ve(3,3) constant-product AMM (Solidly/Velodrome family), not a plain Uniswap fork.",https://mezo.org,Bitcoin Economic Layer' by Thesis (tBTC/Fold/Taho) — a BTC-collateralized economy minting the BTC-backed stablecoin MUSD with veBTC and BTC-denominated yield.,"Big ~$62.8M TVL, Safe already on-chain, strong BTCFi backer (Thesis). DEX (Tigris) is a ve(3,3) design whose Uniswap lineage is unconfirmed. High-value exploratory lead.",CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Mezo and saw Safe is already live on Mezo, and Tigris runs a ve(3,3) model whose concentrated-liquidity tier may or may not be Uniswap-derived. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. with $60M+ in BTC-denominated liquidity, a canonical Uniswap v3 (DAO-recognized) would give MUSD and BTC pairs an aggregator-prioritized venue alongside Tigris's ve(3,3) pools. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Tigris Mezo V3, Tigris Mezo V2 runs on would help me tell you if there's a clean path to canonical recognition for Mezo. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Mezo's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Safe is already live on Mezo, and Tigris runs a ve(3,3) model whose concentrated-liquidity tier may or may not be Uniswap-derived on Mezo. with $60M+ in BTC-denominated liquidity, a canonical Uniswap v3 (DAO-recognized) would give MUSD and BTC pairs an aggregator-prioritized venue alongside Tigris's ve(3,3) pools. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Tigris Mezo V3, Tigris Mezo V2's docs or repo I can tell you quickly whether canonical recognition is on the table for Mezo. Happy either way.","Safe present (chain_id 31612). DEX = ve(3,3), fork base unclear -> CASE_6. Large TVL + strong team = high-priority exploratory."
Peaq,no need,EVM,L1,2,"MachineX CL, MachineX Legacy",3,9/10/2025,"$803,111 ",3338,NO,YES,YES;YES,V3;V2,"MachineX CL: YES/V3 — Built on Ramses V3 Core, explicitly 'based on Uniswap V3'; 'CL' = concentrated liquidity. Audited. | MachineX Legacy: YES/V2 — Docs: legacy pools are 'traditional Uniswap V2 and Stableswap pools with modifications'.",https://www.peaq.xyz,EVM-compatible L1 purpose-built for DePIN (Decentralized Physical Infrastructure) and the 'Machine Economy' (token $PEAQ).,"~$803K TVL, Safe on-chain, and MachineX already provides UniV3 (Ramses) + V2. Leading DePIN chain — fit is canonical DAO recognition around the existing V3.",CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Peaq and saw MachineX already runs Uniswap-v3-based (Ramses) and V2 pools, and Safe is live on peaq. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. as the machine economy scales, canonical DAO recognition would make MachineX's V3 the aggregator-default venue for DePIN token liquidity. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what MachineX CL, MachineX Legacy runs on would help me tell you if there's a clean path to canonical recognition for Peaq. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Peaq's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw MachineX already runs Uniswap-v3-based (Ramses) and V2 pools, and Safe is live on peaq on Peaq. as the machine economy scales, canonical DAO recognition would make MachineX's V3 the aggregator-default venue for DePIN token liquidity. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to MachineX CL, MachineX Legacy's docs or repo I can tell you quickly whether canonical recognition is on the table for Peaq. Happy either way.",Already UniV3 (Ramses fork) + V2 + Safe (chain_id 3338). CASE_6 canonical angle. Strong DePIN brand.
ENI,,EVM,L1,2,"Dswap, EGAS swap",3,8/11/2025,"$215,562,510 ",173,NO,YES,UNCLEAR;NO,—,Dswap: UNCLEAR — 'Operation flow similar to other public-chain DEXs' — standard AMM but no confirmation it's a Uniswap fork/version. | EGAS swap: NO — Not an AMM — a fixed-rate USDT<->EGAS gas-onboarding utility.,https://eniac.network,"Enterprise-grade modular EVM L1 ('ENI Matrix') aimed at mass commercial adoption, gaming and on-chain apps (gas token EGAS).","Huge reported ~$215.6M TVL and Safe on-chain, but its real AMM (Dswap) has unknown lineage (EGAS swap is just a gas on-ramp). Very high-value exploratory lead — verify TVL and Dswap stack.",CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at ENI and saw Safe is already live and Dswap is your main AMM, though its underlying stack isn't documented (EGAS swap is just a gas on-ramp). curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. with the TVL you're carrying, a canonical Uniswap v3 (DAO-recognized) alongside Dswap would give enterprise and gaming partners an audited, aggregator-visible liquidity venue. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Dswap, EGAS swap runs on would help me tell you if there's a clean path to canonical recognition for ENI. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what ENI's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Safe is already live and Dswap is your main AMM, though its underlying stack isn't documented (EGAS swap is just a gas on-ramp) on ENI. with the TVL you're carrying, a canonical Uniswap v3 (DAO-recognized) alongside Dswap would give enterprise and gaming partners an audited, aggregator-visible liquidity venue. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Dswap, EGAS swap's docs or repo I can tell you quickly whether canonical recognition is on the table for ENI. Happy either way.",Safe present (chain_id 173). Dswap fork UNCLEAR; EGAS swap not a DEX. TVL $215M looks very large for the profile - VERIFY. CASE_6.
Bitcichain,small,EVM,L1,1 vol≠tvl,SimitciSwap,1,8/7/2025,"$1,127 ",1907,NO,NO,UNCLEAR,—,SimitciSwap: UNCLEAR — Confirmed as a DEX on Bitcichain (AMM with pools) but no source confirms Uniswap fork/version.,https://bitcichain.com,"EVM-compatible PoA L1 by Bitci, built for sports fan tokens, NFTs, loyalty/rewards and merchant payments (coin BITCI).",Sports/fan-token chain with tiny (~$1.1K) TVL and an unverified DEX stack. Exploratory; consumer-brand focus could benefit from polished canonical infra.,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Bitcichain and saw SimitciSwap is your DEX but its underlying stack isn't public. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. for a fan-token and loyalty chain, a canonical Uniswap deployment gives your consumer partners a recognizable, audited swap experience. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what SimitciSwap runs on would help me tell you if there's a clean path to canonical recognition for Bitcichain. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Bitcichain's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw SimitciSwap is your DEX but its underlying stack isn't public on Bitcichain. for a fan-token and loyalty chain, a canonical Uniswap deployment gives your consumer partners a recognizable, audited swap experience. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to SimitciSwap's docs or repo I can tell you quickly whether canonical recognition is on the table for Bitcichain. Happy either way.","Fork unclear, minimal TVL, no Safe. Exploratory only."
Botanix,no need + l2 shut down,EVM,L1,2,"Bitzy, Arch Swap",12,7/23/2025,"$155,880 ",3637,YES,YES,NO;YES,V3,"Bitzy: NO — 'First EVM DEX on Bitcoin' — custom build (V2 frontend, V3 aggregator backend), not a clean Uniswap fork. | Arch Swap: YES/V3 — Powered by Algebra Integral (a Uniswap-V3 derivative) — concentrated liquidity + dynamic fees.",https://botanixlabs.com,"Fully EVM-equivalent Bitcoin L2 (Spiderchain) using native BTC as gas, targeting BTCFi.","Protofire deployed Safe here (warm), and Arch Swap runs an Algebra (UniV3-derived) DEX. HOWEVER Botanix announced it is winding down its L2 — likely defunct. Deprioritize despite warm Safe relationship.",CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Botanix and saw we deployed Safe for Botanix, and Arch Swap already runs an Algebra (Uniswap-v3-derived) DEX. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Bitzy, Arch Swap runs on would help me tell you if there's a clean path to canonical recognition for Botanix. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Botanix's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw we deployed Safe for Botanix, and Arch Swap already runs an Algebra (Uniswap-v3-derived) DEX on Botanix. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Bitzy, Arch Swap's docs or repo I can tell you quickly whether canonical recognition is on the table for Botanix. Happy either way.","WARM (Protofire Safe). BUT chain announced wind-down (withdrawal deadline ~2026-07-09, now passed). Likely defunct - DO NOT PRIORITIZE. Flag for manual confirmation before any outreach."
DChain,small,EVM,L1,1,OpenBiSea,1,7/10/2025,"$20,381 ",2.72E+15,NO,NO,UNCLEAR,—,"OpenBiSea: UNCLEAR — Primarily an NFT marketplace; swap is a custom reserve-backed contract, not a documented Uniswap-style AMM (leaning not-Uniswap).",https://www.dchain.foundation,"ETH-based L1 built as a SAGA chainlet by DEX Studios (MotoDEX/DexGO), centered on NFTs, gaming and its DTOKEN/DCOIN economy.",Small NFT/gaming chainlet; 'DEX' is really an NFT marketplace with a custom reserve swap. Exploratory — likely a better Safe lead than Uniswap.,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at DChain and saw OpenBiSea is mainly an NFT marketplace with a custom reserve swap rather than a Uniswap-style AMM. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. if you want a real AMM alongside the NFT marketplace, a canonical Uniswap deployment (plus a Safe for the treasury) would give the gaming economy proper token liquidity. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what OpenBiSea runs on would help me tell you if there's a clean path to canonical recognition for DChain. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what DChain's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw OpenBiSea is mainly an NFT marketplace with a custom reserve swap rather than a Uniswap-style AMM on DChain. if you want a real AMM alongside the NFT marketplace, a canonical Uniswap deployment (plus a Safe for the treasury) would give the gaming economy proper token liquidity. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to OpenBiSea's docs or repo I can tell you quickly whether canonical recognition is on the table for DChain. Happy either way.","DEX' is NFT-marketplace/custom reserve swap, not an AMM. No Safe. CASE_6; Safe may be the better angle."
