network_name,case,tg_cold,tg_followup,li_connect,li_first,li_followup
Zero Network,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Zero Network and saw SakuraSwap — which we built with your team — already runs Uniswap V2+V3, and Safe is live. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. since we built SakuraSwap on Uniswap v3 with you, the natural next step is canonical DAO recognition so aggregators prioritize it. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what SakuraSwap runs on would help me tell you if there's a clean path to canonical recognition for Zero Network. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Zero Network's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw SakuraSwap — which we built with your team — already runs Uniswap V2+V3, and Safe is live on Zero Network. since we built SakuraSwap on Uniswap v3 with you, the natural next step is canonical DAO recognition so aggregators prioritize it. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to SakuraSwap's docs or repo I can tell you quickly whether canonical recognition is on the table for Zero Network. Happy either way."
Superposition,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Superposition and saw Camelot (V2 + Algebra V3) and a native Stylus AMM already run here, and Safe is live. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. your native stack is Stylus/Algebra — a canonical DAO-recognized Uniswap would be a net-new, aggregator-prioritized venue rather than a duplicate. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Camelot / Longtail runs on would help me tell you if there's a clean path to canonical recognition for Superposition. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Superposition's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Camelot (V2 + Algebra V3) and a native Stylus AMM already run here, and Safe is live on Superposition. your native stack is Stylus/Algebra — a canonical DAO-recognized Uniswap would be a net-new, aggregator-prioritized venue rather than a duplicate. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Camelot / Longtail's docs or repo I can tell you quickly whether canonical recognition is on the table for Superposition. Happy either way."
Artela,CASE_5,"hey [Name], Vic from Protofire DAO. looked at Artela's DEX setup — you've got ArtexSwap running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. your Aspect/EVM++ security angle pairs well with V3 — concentrated liquidity plus your MEV/rug checks is a strong story for serious market makers. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for Artela — we can layer it on ArtexSwap without disrupting your current V2 pools. want me to send a quick scope?",Hi [Name] — Vic at Protofire DAO. Artela has ArtexSwap on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?,"Thanks for connecting, [Name]. Saw Artela runs ArtexSwap on V2 — solid, but no V3. your Aspect/EVM++ security angle pairs well with V3 — concentrated liquidity plus your MEV/rug checks is a strong story for serious market makers. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give Artela's LPs a V3 option on top of ArtexSwap, it's a clean add-on for us. Happy to share how it went on other chains."
Waterfall,CASE_2,"hey [Name], Vic from Protofire DAO — we build core infra for EVM chains. had a look at Waterfall's stack — you've got Safe covered, but no canonical Uniswap DEX yet. your Aquadex is Curve-style (built for stable pairs) — a canonical Uniswap v2+v3 would give volatile long-tail pairs the venue they're missing. without one, your swap volume is leaking to other chains and your LPs don't have a proper interface to manage positions. we deploy Uniswap v2+v3 end-to-end — contracts, routing API, graph node, frontend, and the canonical DAO governance proposal that gets your DEX officially recognized. done this for BOB, MODE, Abstract, Zora and others. whitelabel on your domain or shared UI — 2–4 weeks either way. open to a quick sync?","hey [Name], following up on the Uniswap idea for Waterfall — end-to-end deploy on our side, and it plugs the swap-volume leak. worth a quick call?",Hi [Name] — Vic at Protofire DAO. Waterfall has Safe covered but no canonical Uniswap DEX yet; that's usually where swap volume leaks. Worth a chat?,"Thanks for connecting, [Name]. Had a look at Waterfall — you've got Safe covered, but no canonical Uniswap DEX yet. your Aquadex is Curve-style (built for stable pairs) — a canonical Uniswap v2+v3 would give volatile long-tail pairs the venue they're missing. We deploy Uniswap v2+v3 end-to-end — contracts, routing API, graph node, frontend, plus the canonical DAO proposal that gets it officially recognized. Done this for BOB, MODE, Abstract, Zora. Whitelabel or shared UI, ~2–4 weeks. Open to a quick sync?","Hey [Name], no rush — the Uniswap deploy is end-to-end on our side and tends to stop the swap-volume leak to other chains. Here whenever you want to scope it."
CrossFi,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at CrossFi and saw we deployed your Safe already, and xSwap is your in-house AMM whose stack isn't public. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. since we already run your Safe, the easy next step is confirming what xSwap is built on and, if useful, adding a canonical DAO-recognized Uniswap. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what xSwap DEX runs on would help me tell you if there's a clean path to canonical recognition for CrossFi. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what CrossFi's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw we deployed your Safe already, and xSwap is your in-house AMM whose stack isn't public on CrossFi. since we already run your Safe, the easy next step is confirming what xSwap is built on and, if useful, adding a canonical DAO-recognized Uniswap. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to xSwap DEX's docs or repo I can tell you quickly whether canonical recognition is on the table for CrossFi. Happy either way."
Odyssey,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Odyssey and saw Diamondswap runs a custom Diamond-Standard (EIP-2535) AMM rather than a documented Uniswap fork. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. if you'd want an aggregator-recognized venue alongside Diamondswap, a canonical Uniswap (plus a Safe for the treasury) is the standard path. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Diamondswap runs on would help me tell you if there's a clean path to canonical recognition for Odyssey. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Odyssey's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Diamondswap runs a custom Diamond-Standard (EIP-2535) AMM rather than a documented Uniswap fork on Odyssey. if you'd want an aggregator-recognized venue alongside Diamondswap, a canonical Uniswap (plus a Safe for the treasury) is the standard path. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Diamondswap's docs or repo I can tell you quickly whether canonical recognition is on the table for Odyssey. Happy either way."
DuckChain,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at DuckChain and saw Camelot already runs V2 + Algebra-V3 here (with a native DuckSwap too). curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. with Camelot's V2+V3 already live, the main value is canonical DAO recognition — otherwise it's redundant. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Camelot / DuckSwap runs on would help me tell you if there's a clean path to canonical recognition for DuckChain. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what DuckChain's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Camelot already runs V2 + Algebra-V3 here (with a native DuckSwap too) on DuckChain. with Camelot's V2+V3 already live, the main value is canonical DAO recognition — otherwise it's redundant. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Camelot / DuckSwap's docs or repo I can tell you quickly whether canonical recognition is on the table for DuckChain. Happy either way."
QL1,CASE_5,"hey [Name], Vic from Protofire DAO. looked at QL1's DEX setup — you've got QOMSWAP running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. layering V3 on top gives your QOM markets tighter pricing and pulls in active LPs that V2 farming alone won't. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for QL1 — we can layer it on QOMSWAP without disrupting your current V2 pools. want me to send a quick scope?",Hi [Name] — Vic at Protofire DAO. QL1 has QOMSWAP on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?,"Thanks for connecting, [Name]. Saw QL1 runs QOMSWAP on V2 — solid, but no V3. layering V3 on top gives your QOM markets tighter pricing and pulls in active LPs that V2 farming alone won't. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give QL1's LPs a V3 option on top of QOMSWAP, it's a clean add-on for us. Happy to share how it went on other chains."
VinuChain,CASE_4,"hey [Name], Vic from Protofire DAO. been following VinuChain and had a look at the stack. VinuSwap already gives you a Uniswap-v3 fork, but there's no Safe multisig on VinuChain. at this stage the highest-leverage move is probably a proper Safe deployment — it's what signals to protocols, DAOs and bridges that a chain is serious, and it unlocks the kind of TVL that makes a DEX worth running. a memecoin-origin treasury and its LP pools really shouldn't sit behind an EOA — a proper Safe is table-stakes before bigger market makers commit. we've deployed Safe for 130+ networks including Gnosis and others — fast to ship, low friction. open to a quick chat?","hey [Name], following up on the Safe idea for VinuChain — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. For VinuChain, a proper Safe multisig is probably the highest-leverage next step to signal you're serious. Open to a chat?","Thanks for connecting, [Name]. Had a look at VinuChain — VinuSwap already gives you a Uniswap-v3 fork, but there's no Safe multisig on VinuChain. At this stage a proper Safe is the move: it's what protocols, DAOs and bridges look for, and it unlocks the TVL that makes a DEX worth running. a memecoin-origin treasury and its LP pools really shouldn't sit behind an EOA — a proper Safe is table-stakes before bigger market makers commit. We've deployed Safe for 130+ networks — fast, low friction. Open to a quick chat?","Hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage of an ecosystem. Here whenever you want to scope it."
Shido,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Shido and saw Shido Dex already runs Uniswap-style V2 and V3 pools. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. with ~$900K TVL on a native Uniswap-style DEX, canonical DAO recognition is what gets it aggregator-prioritized. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Shido Dex runs on would help me tell you if there's a clean path to canonical recognition for Shido. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Shido's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Shido Dex already runs Uniswap-style V2 and V3 pools on Shido. with ~$900K TVL on a native Uniswap-style DEX, canonical DAO recognition is what gets it aggregator-prioritized. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Shido Dex's docs or repo I can tell you quickly whether canonical recognition is on the table for Shido. Happy either way."
