network_name,case,tg_cold,tg_followup,li_connect,li_first,li_followup
GRX Chain,CASE_5,"hey [Name], Vic from Protofire DAO — had a look at GRX Chain. you've got GRXswap on V2, which is solid, but no V3 yet. V3's concentrated liquidity is really what pulls in the active LPs and market makers. we've deployed canonical V3 on 12+ chains and can layer it right on top of your V2 — same UI, same stack. also — doesn't look like GRX Chain has a Safe deployed yet; we're official Safe integrators, so easy to sort that in the same go. worth a chat?","hey [Name], circling back — layering V3 on GRXswap is a clean add-on, doesn't touch your existing pools. want me to send a quick scope?","Hi [Name] — Vic at Protofire DAO. GRX Chain has GRXswap on V2 but no V3 yet; V3's what pulls in active LPs and market makers, and we can layer it on. also, no Safe yet? worth a chat?","Thanks for connecting, [Name]. saw GRX Chain runs GRXswap on V2 — solid, but no V3 yet. you've got real TVL on V2 — layering V3 on top pulls in the active LPs and yield optimizers that a high-throughput consumer chain needs to keep volume onchain. we've done canonical V3 on 12+ chains and can layer it on your V2 (same UI, ~2–4 weeks). also, no Safe on GRX Chain yet from what I can see — we can handle that too, we're official Safe integrators. open to a chat?","hey [Name], no rush — whenever you want to give GRX Chain's LPs a V3 option on top of GRXswap, it's a quick add-on for us."
JOC,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at JOC and saw Safe is already live on JOC, but JOC Dex's underlying stack isn't public. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. worth a quick chat?","hey [Name], following up — even a quick note on what JOC Dex runs on and I can tell you if canonical recognition's on the table for JOC. no pressure.",Hi [Name] — Vic at Protofire DAO. curious what JOC's DEX (JOC Dex) runs on under the hood — there may be a clean path to canonical Uniswap recognition. worth a chat?,"Thanks for connecting, [Name]. saw Safe is already live on JOC, but JOC Dex's underlying stack isn't public on JOC. for an enterprise consortium chain, a canonical Uniswap deployment (DAO-recognized) adds a compliance-friendly, audited liquidity layer your corporate members can trust. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. worth a chat?","hey [Name], no rush — point me to JOC Dex's docs whenever and I'll tell you quickly if there's a canonical path for JOC."
ZIGChain,CASE_3,"hey [Name], Vic from Protofire DAO — looked at ZIGChain before reaching out. noticed your DEX (OroSwap) is Astroport-based on the Cosmos side, and I couldn't confirm a Safe on the EVM side. with $8M+ TVL and an RWA focus, a Safe on the EVM side is what institutional RWA partners require, and a canonical Uniswap v3 gives that liquidity an EVM-native home. we've done Safe for 130+ chains and Uniswap for BOB, Mode, Zora — worth connecting our teams?","hey [Name], circling back — the Safe side is quick to ship and tends to unblock the institutional flow first. worth 15 min on ZIGChain?","Hi [Name] — Vic at Protofire DAO. ZIGChain has real TVL but no Safe yet, and no canonical Uniswap — usually the first two things bigger protocols check for. worth a chat?","Thanks for connecting, [Name]. so yeah — noticed your DEX (OroSwap) is Astroport-based on the Cosmos side, and I couldn't confirm a Safe on the EVM side. with $8M+ TVL and an RWA focus, a Safe on the EVM side is what institutional RWA partners require, and a canonical Uniswap v3 gives that liquidity an EVM-native home. we've done Safe for 130+ chains and Uniswap for BOB, Mode, Zora. open to connecting teams?","hey [Name], no rush — the Safe deploy is low-friction and usually the unlock for the TVL that makes a DEX worth running. happy to scope it whenever."
Bittensor EVM,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at Bittensor EVM and saw TaoFi already deployed Uniswap V3 for TAO/USDC, and Safe is live. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. worth a quick chat?","hey [Name], following up — even a quick note on what TaoFi runs on and I can tell you if canonical recognition's on the table for Bittensor EVM. no pressure.",Hi [Name] — Vic at Protofire DAO. curious what Bittensor EVM's DEX (TaoFi) runs on under the hood — there may be a clean path to canonical Uniswap recognition. worth a chat?,"Thanks for connecting, [Name]. saw TaoFi already deployed Uniswap V3 for TAO/USDC, and Safe is live on Bittensor EVM. as TAO DeFi grows, canonical DAO recognition + a proper routing/graph stack would make your V3 the default venue aggregators route AI-economy liquidity through. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. worth a chat?","hey [Name], no rush — point me to TaoFi's docs whenever and I'll tell you quickly if there's a canonical path for Bittensor EVM."
BESC Hyperchain,CASE_5,"hey [Name], Vic from Protofire DAO — had a look at BESC Hyperchain. you've got BESCSWAP DEX on V2, which is solid, but no V3 yet. V3's concentrated liquidity is really what pulls in the active LPs and market makers. we've deployed canonical V3 on 12+ chains and can layer it right on top of your V2 — same UI, same stack. also — doesn't look like BESC Hyperchain has a Safe deployed yet; we're official Safe integrators, so easy to sort that in the same go. worth a chat?","hey [Name], circling back — layering V3 on BESCSWAP DEX is a clean add-on, doesn't touch your existing pools. want me to send a quick scope?","Hi [Name] — Vic at Protofire DAO. BESC Hyperchain has BESCSWAP DEX on V2 but no V3 yet; V3's what pulls in active LPs and market makers, and we can layer it on. also, no Safe yet? worth a chat?","Thanks for connecting, [Name]. saw BESC Hyperchain runs BESCSWAP DEX on V2 — solid, but no V3 yet. V3 on top of your existing V2 gives your meme/DeFi traders tighter pricing and pulls in the active LPs that V2 farming alone won't attract. we've done canonical V3 on 12+ chains and can layer it on your V2 (same UI, ~2–4 weeks). also, no Safe on BESC Hyperchain yet from what I can see — we can handle that too, we're official Safe integrators. open to a chat?","hey [Name], no rush — whenever you want to give BESC Hyperchain's LPs a V3 option on top of BESCSWAP DEX, it's a quick add-on for us."
GateLayer,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at GateLayer and saw Gate Swap is your native AMM but its stack isn't public, and WoofSwap is a Solidly ve(3,3) design. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. also — doesn't look like GateLayer has a Safe deployed yet; we're official Safe integrators, so easy to sort that in the same go. worth a quick chat?","hey [Name], following up — even a quick note on what Gate Swap runs on and I can tell you if canonical recognition's on the table for GateLayer. no pressure.","Hi [Name] — Vic at Protofire DAO. curious what GateLayer's DEX (Gate Swap) runs on under the hood — there may be a clean path to canonical Uniswap recognition. also, no Safe yet? worth a chat?","Thanks for connecting, [Name]. saw Gate Swap is your native AMM but its stack isn't public, and WoofSwap is a Solidly ve(3,3) design on GateLayer. an exchange-backed L2 with real TVL is exactly the kind of chain where a canonical Uniswap v3 (DAO-recognized) would lock in aggregator routing and complement Gate's own liquidity. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. also, no Safe on GateLayer yet from what I can see — we can handle that too, we're official Safe integrators. worth a chat?","hey [Name], no rush — point me to Gate Swap's docs whenever and I'll tell you quickly if there's a canonical path for GateLayer."
Xone Chain,CASE_4,"hey [Name], Vic from Protofire DAO — had a look at Xone Chain. you've got the DEX side covered with SwapX Xone Chain, but there's no Safe yet, and that's usually the gap. for a chain built around compliance and institutional adoption, a Safe multisig is the single most expected piece of custody infra — it's the gap, not the DEX. we're official Safe integrators — 130+ chains, fast and low-lift. worth a quick chat?","hey [Name], following up on the Safe idea for Xone Chain — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. for Xone Chain, a proper Safe is probably the highest-leverage next step to signal you're serious — we're official Safe integrators. worth a chat?","Thanks for connecting, [Name]. had a look at Xone Chain — SwapX already covers Uniswap v2+v3, but there's no Safe multisig on Xone. for a chain built around compliance and institutional adoption, a Safe multisig is the single most expected piece of custody infra — it's the gap, not the DEX. we're official Safe integrators (130+ chains, fast + low-lift) — open to a quick chat?","hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage. here whenever you want to scope it."
Mezo,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at Mezo and saw Safe is already live on Mezo, and Tigris runs a ve(3,3) model whose concentrated-liquidity tier may or may not be Uniswap-derived. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. worth a quick chat?","hey [Name], following up — even a quick note on what Tigris Mezo V3 runs on and I can tell you if canonical recognition's on the table for Mezo. no pressure.",Hi [Name] — Vic at Protofire DAO. curious what Mezo's DEX (Tigris Mezo V3) runs on under the hood — there may be a clean path to canonical Uniswap recognition. worth a chat?,"Thanks for connecting, [Name]. saw Safe is already live on Mezo, and Tigris runs a ve(3,3) model whose concentrated-liquidity tier may or may not be Uniswap-derived on Mezo. with $60M+ in BTC-denominated liquidity, a canonical Uniswap v3 (DAO-recognized) would give MUSD and BTC pairs an aggregator-prioritized venue alongside Tigris's ve(3,3) pools. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. worth a chat?","hey [Name], no rush — point me to Tigris Mezo V3's docs whenever and I'll tell you quickly if there's a canonical path for Mezo."
Peaq,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at Peaq and saw MachineX already runs Uniswap-v3-based (Ramses) and V2 pools, and Safe is live on peaq. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. worth a quick chat?","hey [Name], following up — even a quick note on what MachineX CL runs on and I can tell you if canonical recognition's on the table for Peaq. no pressure.",Hi [Name] — Vic at Protofire DAO. curious what Peaq's DEX (MachineX CL) runs on under the hood — there may be a clean path to canonical Uniswap recognition. worth a chat?,"Thanks for connecting, [Name]. saw MachineX already runs Uniswap-v3-based (Ramses) and V2 pools, and Safe is live on peaq on Peaq. as the machine economy scales, canonical DAO recognition would make MachineX's V3 the aggregator-default venue for DePIN token liquidity. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. worth a chat?","hey [Name], no rush — point me to MachineX CL's docs whenever and I'll tell you quickly if there's a canonical path for Peaq."
ENI,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at ENI and saw Safe is already live and Dswap is your main AMM, though its underlying stack isn't documented (EGAS swap is just a gas on-ramp). curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. worth a quick chat?","hey [Name], following up — even a quick note on what Dswap runs on and I can tell you if canonical recognition's on the table for ENI. no pressure.",Hi [Name] — Vic at Protofire DAO. curious what ENI's DEX (Dswap) runs on under the hood — there may be a clean path to canonical Uniswap recognition. worth a chat?,"Thanks for connecting, [Name]. saw Safe is already live and Dswap is your main AMM, though its underlying stack isn't documented (EGAS swap is just a gas on-ramp) on ENI. with the TVL you're carrying, a canonical Uniswap v3 (DAO-recognized) alongside Dswap would give enterprise and gaming partners an audited, aggregator-visible liquidity venue. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. worth a chat?","hey [Name], no rush — point me to Dswap's docs whenever and I'll tell you quickly if there's a canonical path for ENI."
Bitcichain,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at Bitcichain and saw SimitciSwap is your DEX but its underlying stack isn't public. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. also — doesn't look like Bitcichain has a Safe deployed yet; we're official Safe integrators, so easy to sort that in the same go. worth a quick chat?","hey [Name], following up — even a quick note on what SimitciSwap runs on and I can tell you if canonical recognition's on the table for Bitcichain. no pressure.","Hi [Name] — Vic at Protofire DAO. curious what Bitcichain's DEX (SimitciSwap) runs on under the hood — there may be a clean path to canonical Uniswap recognition. also, no Safe yet? worth a chat?","Thanks for connecting, [Name]. saw SimitciSwap is your DEX but its underlying stack isn't public on Bitcichain. for a fan-token and loyalty chain, a canonical Uniswap deployment gives your consumer partners a recognizable, audited swap experience. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. also, no Safe on Bitcichain yet from what I can see — we can handle that too, we're official Safe integrators. worth a chat?","hey [Name], no rush — point me to SimitciSwap's docs whenever and I'll tell you quickly if there's a canonical path for Bitcichain."
Botanix,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at Botanix and saw we deployed Safe for Botanix, and Arch Swap already runs an Algebra (Uniswap-v3-derived) DEX. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. worth a quick chat?","hey [Name], following up — even a quick note on what Bitzy runs on and I can tell you if canonical recognition's on the table for Botanix. no pressure.",Hi [Name] — Vic at Protofire DAO. curious what Botanix's DEX (Bitzy) runs on under the hood — there may be a clean path to canonical Uniswap recognition. worth a chat?,"Thanks for connecting, [Name]. saw we deployed Safe for Botanix, and Arch Swap already runs an Algebra (Uniswap-v3-derived) DEX on Botanix. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. worth a chat?","hey [Name], no rush — point me to Bitzy's docs whenever and I'll tell you quickly if there's a canonical path for Botanix."
DChain,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at DChain and saw OpenBiSea is mainly an NFT marketplace with a custom reserve swap rather than a Uniswap-style AMM. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. also — doesn't look like DChain has a Safe deployed yet; we're official Safe integrators, so easy to sort that in the same go. worth a quick chat?","hey [Name], following up — even a quick note on what OpenBiSea runs on and I can tell you if canonical recognition's on the table for DChain. no pressure.","Hi [Name] — Vic at Protofire DAO. curious what DChain's DEX (OpenBiSea) runs on under the hood — there may be a clean path to canonical Uniswap recognition. also, no Safe yet? worth a chat?","Thanks for connecting, [Name]. saw OpenBiSea is mainly an NFT marketplace with a custom reserve swap rather than a Uniswap-style AMM on DChain. if you want a real AMM alongside the NFT marketplace, a canonical Uniswap deployment (plus a Safe for the treasury) would give the gaming economy proper token liquidity. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. also, no Safe on DChain yet from what I can see — we can handle that too, we're official Safe integrators. worth a chat?","hey [Name], no rush — point me to OpenBiSea's docs whenever and I'll tell you quickly if there's a canonical path for DChain."
Titan,CASE_6,"hey [Name], Vic from Protofire DAO — we build core DeFi infra for EVM chains. had a look at Titan and saw I want to make sure I've got the right Titan and understand what Hyperion runs on. curious what it's running under the hood — depending on the stack there's often a clean path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch. we've done this for BOB, Abstract, Nibiru. also — doesn't look like Titan has a Safe deployed yet; we're official Safe integrators, so easy to sort that in the same go. worth a quick chat?","hey [Name], following up — even a quick note on what Hyperion DEX runs on and I can tell you if canonical recognition's on the table for Titan. no pressure.","Hi [Name] — Vic at Protofire DAO. curious what Titan's DEX (Hyperion DEX) runs on under the hood — there may be a clean path to canonical Uniswap recognition. also, no Safe yet? worth a chat?","Thanks for connecting, [Name]. saw I want to make sure I've got the right Titan and understand what Hyperion runs on on Titan. if there's no canonical AMM yet, a Uniswap deployment plus a Safe would be a strong base to build DeFi on. curious what it's built on — there's often a clean path to canonical Uniswap DAO recognition (aggregator prioritization + the official badge). we've done this for BOB, Abstract, Nibiru; if it's already a fork we can work with what you have. also, no Safe on Titan yet from what I can see — we can handle that too, we're official Safe integrators. worth a chat?","hey [Name], no rush — point me to Hyperion DEX's docs whenever and I'll tell you quickly if there's a canonical path for Titan."
